UID;IC_name;Sumo_code;Alias;Sumo_index;Det_pair;isGreen;Q_index
0;Intersection1;rrrruuurrrrruuur;NSst:u;0;DetN31,DetS31;0;-1
1;Intersection1;rrrrGGGrrrrrGGGr;NSst:G;1;DetN31,DetS31;1;0
2;Intersection1;rrrryyyrrrrryyyr;NSst:y;2;DetN31,DetS31;0;-1
3;Intersection1;rrrrrrrrrrrrrrrr;NSst:ar;3;DetN31,DetS31;0;-1
4;Intersection1;uuurrrrruuurrrrr;NSlf:u;4;DetN11,DetS11;0;-1
5;Intersection1;GGGrrrrrGGGrrrrr;NSlf:G;5;DetN11,DetS11;1;1
6;Intersection1;yyyrrrrryyyrrrrr;NSlf:y;6;DetN11,DetS11;0;-1
7;Intersection1;rrrrrrrrrrrrrrrr;NSlf:ar;7;DetN11,DetS11;0;-1
8;Intersection1;rrrrrrrurrrrrrru;EWst:u;8;DetE31,DetW31;0;-1
9;Intersection1;rrrrrrrGrrrrrrrG;EWst:G;9;DetE31,DetW31;1;2
10;Intersection1;rrrrrrryrrrrrrry;EWst:y;10;DetE31,DetW31;0;-1
11;Intersection1;rrrrrrrrrrrrrrrr;EWst:ar;11;DetE31,DetW31;0;-1
12;Intersection1;rrrurrrrrrrurrrr;EWlf:u;12;DetE11,DetW11;0;-1
13;Intersection1;rrrGrrrrrrrGrrrr;EWlf:G;13;DetE11,DetW11;1;3
14;Intersection1;rrryrrrrrrryrrrr;EWlf:y;14;DetE11,DetW11;0;-1
15;Intersection1;rrrrrrrrrrrrrrrr;EWlf:ar;15;DetE11,DetW11;0;-1
16;Intersection2;rrrruuurrrrruuur;NSst:u;0;DetN32,DetS32;0;-1
17;Intersection2;rrrrGGGrrrrrGGGr;NSst:G;1;DetN32,DetS32;1;0
18;Intersection2;rrrryyyrrrrryyyr;NSst:y;2;DetN32,DetS32;0;-1
19;Intersection2;rrrrrrrrrrrrrrrr;NSst:ar;3;DetN32,DetS32;0;-1
20;Intersection2;uuurrrrruuurrrrr;NSlf:u;4;DetN12,DetS12;0;-1
21;Intersection2;GGGrrrrrGGGrrrrr;NSlf:G;5;DetN12,DetS12;1;1
22;Intersection2;yyyrrrrryyyrrrrr;NSlf:y;6;DetN12,DetS12;0;-1
23;Intersection2;rrrrrrrrrrrrrrrr;NSlf:ar;7;DetN12,DetS12;0;-1
24;Intersection2;rrrrrrrurrrrrrru;EWst:u;8;DetE32,DetW32;0;-1
25;Intersection2;rrrrrrrGrrrrrrrG;EWst:G;9;DetE32,DetW32;1;2
26;Intersection2;rrrrrrryrrrrrrry;EWst:y;10;DetE32,DetW32;0;-1
27;Intersection2;rrrrrrrrrrrrrrrr;EWst:ar;11;DetE32,DetW32;0;-1
28;Intersection2;rrrurrrrrrrurrrr;EWlf:u;12;DetE12,DetW12;0;-1
29;Intersection2;rrrGrrrrrrrGrrrr;EWlf:G;13;DetE12,DetW12;1;3
30;Intersection2;rrryrrrrrrryrrrr;EWlf:y;14;DetE12,DetW12;0;-1
31;Intersection2;rrrrrrrrrrrrrrrr;EWlf:ar;15;DetE12,DetW12;0;-1
32;Intersection3;rrrruuurrrrruuur;NSst:u;0;DetN33,DetS33;0;-1
33;Intersection3;rrrrGGGrrrrrGGGr;NSst:G;1;DetN33,DetS33;1;0
34;Intersection3;rrrryyyrrrrryyyr;NSst:y;2;DetN33,DetS33;0;-1
35;Intersection3;rrrrrrrrrrrrrrrr;NSst:ar;3;DetN33,DetS33;0;-1
36;Intersection3;uuurrrrruuurrrrr;NSlf:u;4;DetN13,DetS13;0;-1
37;Intersection3;GGGrrrrrGGGrrrrr;NSlf:G;5;DetN13,DetS13;1;1
38;Intersection3;yyyrrrrryyyrrrrr;NSlf:y;6;DetN13,DetS13;0;-1
39;Intersection3;rrrrrrrrrrrrrrrr;NSlf:ar;7;DetN13,DetS13;0;-1
40;Intersection3;rrrrrrrurrrrrrru;EWst:u;8;DetE33,DetW33;0;-1
41;Intersection3;rrrrrrrGrrrrrrrG;EWst:G;9;DetE33,DetW33;1;2
42;Intersection3;rrrrrrryrrrrrrry;EWst:y;10;DetE33,DetW33;0;-1
43;Intersection3;rrrrrrrrrrrrrrrr;EWst:ar;11;DetE33,DetW33;0;-1
44;Intersection3;rrrurrrrrrrurrrr;EWlf:u;12;DetE13,DetW13;0;-1
45;Intersection3;rrrGrrrrrrrGrrrr;EWlf:G;13;DetE13,DetW13;1;3
46;Intersection3;rrryrrrrrrryrrrr;EWlf:y;14;DetE13,DetW13;0;-1
47;Intersection3;rrrrrrrrrrrrrrrr;EWlf:ar;15;DetE13,DetW13;0;-1
