UID;IC_name;Sumo_code;Alias;Sumo_index;isGreen;Q_index
0;Intersection0;uurrrruurrrr;NSst:u;0;0;-1
1;Intersection0;GGrrrrGGrrrr;NSst:G;1;1;0
2;Intersection0;yyrrrryyrrrr;NSst:y;2;0;-1
3;Intersection0;rrrrrrrrrrrr;NSst:ar;3;0;-1
4;Intersection0;rrurrrrrurrr;NSlf:u;4;0;-1
5;Intersection0;rrGrrrrrGrrr;NSlf:G;5;1;1
6;Intersection0;rryrrrrryrrr;NSlf:y;6;0;-1
7;Intersection0;rrrrrrrrrrrr;NSlf:ar;7;0;-1
8;Intersection0;rrruurrrruur;EWst:u;8;0;-1
9;Intersection0;rrrGGrrrrGGr;EWst:G;9;1;2
10;Intersection0;rrryyrrrryyr;EWst:y;10;0;-1
11;Intersection0;rrrrrrrrrrrr;EWst:ar;11;0;-1
12;Intersection0;rrrrrurrrrru;EWlf:u;12;0;-1
13;Intersection0;rrrrrGrrrrrG;EWlf:G;13;1;3
14;Intersection0;rrrrryrrrrry;EWlf:y;14;0;-1
15;Intersection0;rrrrrrrrrrrr;EWlf:ar;15;0;-1
