epi;step;s;o;a;r
0;972.0;NSst;bin+01+0;pass;21.3
0;986.0;EWst;bin+01+0;prolong;38.8
0;991.0;EWst;bin+00+1;pass;-38.5
0;1005.0;NSlf;bin+01+0;pass;-32.0
0;1019.0;EWlf;bin+01+0;pass;-49.0
0;1033.0;NSst;bin+00+0;prolong;-81.4
0;1038.0;NSst;bin+00+1;prolong;-84.6
0;1043.0;NSst;bin+01+2;pass;-115.9
0;1057.0;EWst;bin+01+0;prolong;164.2
0;1062.0;EWst;bin+01+1;pass;5.0
0;1076.0;NSlf;bin+01+0;pass;-0.4
0;1090.0;EWlf;bin+01+0;prolong;-18.4
0;1095.0;EWlf;bin+01+1;prolong;-60.0
0;1100.0;EWlf;bin+01+2;prolong;-92.0
0;1105.0;EWlf;bin+01+3;pass;-127.0
0;1119.0;NSst;bin+01+0;prolong;72.3
0;1124.0;NSst;bin+01+1;prolong;-50.5
0;1129.0;NSst;bin+01+2;prolong;-86.0
0;1134.0;NSst;bin+01+3;prolong;-117.0
0;1139.0;NSst;bin+01+4;pass;-152.0
0;1153.0;EWst;bin+01+0;pass;99.2
0;1167.0;NSlf;bin+01+0;pass;-18.0
0;1181.0;EWlf;bin+01+0;prolong;-18.0
0;1186.0;EWlf;bin+01+1;prolong;-44.7
0;1191.0;EWlf;bin+01+2;prolong;-42.0
0;1196.0;EWlf;bin+01+3;pass;-63.0
0;1210.0;NSst;bin+01+0;pass;17.6
0;1224.0;EWst;bin+01+0;pass;8.8
0;1238.0;NSlf;bin+01+0;pass;9.1
0;1252.0;EWlf;bin+01+0;prolong;11.9
0;1257.0;EWlf;bin+01+1;pass;-41.1
0;1271.0;NSst;bin+01+0;prolong;-42.3
0;1276.0;NSst;bin+01+1;pass;-91.0
0;1290.0;EWst;bin+01+0;pass;46.1
0;1304.0;NSlf;bin+01+0;pass;-13.3
0;1318.0;EWlf;bin+01+0;prolong;2.6
0;1323.0;EWlf;bin+01+1;pass;-40.0
0;1337.0;NSst;bin+01+0;pass;-3.8
0;1351.0;EWst;bin+01+0;pass;37.1
0;1365.0;NSlf;bin+01+0;prolong;-27.3
0;1370.0;NSlf;bin+01+1;pass;-85.0
0;1384.0;EWlf;bin+01+0;pass;-32.4
0;1398.0;NSst;bin+01+0;prolong;16.0
0;1403.0;NSst;bin+01+1;pass;-66.0
0;1417.0;EWst;bin+01+0;prolong;36.7
0;1422.0;EWst;bin+01+1;prolong;-39.0
0;1427.0;EWst;bin+01+2;pass;-67.0
0;1441.0;NSlf;bin+01+0;pass;-44.4
0;1455.0;EWlf;bin+01+0;pass;-42.1
0;1469.0;NSst;bin+01+0;pass;77.3
0;1483.0;EWst;bin+01+0;pass;20.3
0;1497.0;NSlf;bin+00+0;prolong;-30.3
0;1502.0;NSlf;bin+01+1;prolong;-31.6
0;1507.0;NSlf;bin+01+2;pass;-70.5
0;1521.0;EWlf;bin+01+0;pass;-45.5
0;1535.0;NSst;bin+01+0;prolong;-66.9
0;1540.0;NSst;bin+01+1;prolong;-103.1
0;1545.0;NSst;bin+00+2;pass;-126.2
0;1559.0;EWst;bin+00+0;pass;35.6
0;1573.0;NSlf;bin+01+0;prolong;-3.4
0;1578.0;NSlf;bin+01+1;prolong;-59.0
0;1583.0;NSlf;bin+01+2;prolong;-92.0
0;1588.0;NSlf;bin+01+3;prolong;-129.0
0;1593.0;NSlf;bin+01+4;prolong;-169.0
0;1598.0;NSlf;bin+01+5;prolong;-209.0
0;1603.0;NSlf;bin+01+6;prolong;-249.0
0;1617.0;EWlf;bin+01+0;pass;-76.0
0;1631.0;NSst;bin+01+0;pass;-38.3
0;1645.0;EWst;bin+00+0;pass;157.5
0;1659.0;NSlf;bin+01+0;pass;-31.0
0;1673.0;EWlf;bin+01+0;prolong;-54.0
0;1678.0;EWlf;bin+01+1;prolong;-85.0
0;1683.0;EWlf;bin+01+2;pass;-125.0
0;1697.0;NSst;bin+01+0;prolong;-31.4
0;1702.0;NSst;bin+01+1;prolong;-94.6
0;1707.0;NSst;bin+00+2;prolong;-128.1
0;1712.0;NSst;bin+00+3;prolong;-175.2
0;1717.0;NSst;bin+01+4;prolong;-203.6
0;1722.0;NSst;bin+01+5;pass;-245.0
0;1736.0;EWst;bin+01+0;pass;125.7
0;1750.0;NSlf;bin+01+0;prolong;-34.0
0;1755.0;NSlf;bin+01+1;prolong;-58.0
0;1760.0;NSlf;bin+01+2;pass;-90.0
0;1774.0;EWlf;bin+01+0;prolong;-48.5
0;1779.0;EWlf;bin+01+1;pass;-125.0
0;1793.0;NSst;bin+01+0;prolong;89.8
0;1798.0;NSst;bin+01+1;prolong;-84.0
0;1803.0;NSst;bin+01+2;prolong;-122.0
0;1808.0;NSst;bin+01+3;pass;-158.6
0;1822.0;EWst;bin+01+0;pass;236.8
0;1836.0;NSlf;bin+01+0;pass;-15.3
0;1850.0;EWlf;bin+01+0;pass;-68.0
0;1864.0;NSst;bin+01+0;pass;143.5
0;1878.0;EWst;bin+00+0;prolong;100.4
0;1883.0;EWst;bin+00+1;pass;-52.1
0;1897.0;NSlf;bin+01+0;prolong;-5.9
0;1902.0;NSlf;bin+01+1;prolong;-65.0
0;1907.0;NSlf;bin+01+2;prolong;-108.0
0;1912.0;NSlf;bin+01+3;prolong;-163.0
0;1917.0;NSlf;bin+01+4;prolong;-224.0
0;1922.0;NSlf;bin+01+5;prolong;-294.0
0;1927.0;NSlf;bin+01+6;pass;-364.0
0;1941.0;EWlf;bin+01+0;pass;-133.0
0;1955.0;NSst;bin+01+0;pass;9.5
0;1969.0;EWst;bin+01+0;pass;198.1
0;1983.0;NSlf;bin+01+0;prolong;-34.4
0;1988.0;NSlf;bin+01+1;pass;-107.3
0;2002.0;EWlf;bin+01+0;prolong;-57.0
0;2007.0;EWlf;bin+01+1;pass;-138.0
0;2021.0;NSst;bin+01+0;prolong;108.8
0;2026.0;NSst;bin+01+1;pass;-69.0
0;2040.0;EWst;bin+01+0;pass;47.1
0;2054.0;NSlf;bin+01+0;prolong;38.5
0;2059.0;NSlf;bin+01+1;prolong;-28.0
0;2064.0;NSlf;bin+01+2;pass;-49.0
0;2078.0;EWlf;bin+01+0;prolong;38.6
0;2083.0;EWlf;bin+01+1;prolong;-29.0
0;2088.0;EWlf;bin+01+2;pass;-54.0
0;2102.0;NSst;bin+01+0;pass;62.7
0;2116.0;EWst;bin+01+0;prolong;81.5
0;2121.0;EWst;bin+01+1;prolong;-3.0
0;2126.0;EWst;bin+01+2;pass;-13.0
0;2140.0;NSlf;bin+01+0;prolong;-24.4
0;2145.0;NSlf;bin+01+1;pass;-59.1
0;2159.0;EWlf;bin+01+0;pass;-34.6
0;2173.0;NSst;bin+01+0;pass;-37.9
0;2187.0;EWst;bin+01+0;pass;230.6
0;2201.0;NSlf;bin+01+0;pass;-16.5
0;2215.0;EWlf;bin+01+0;prolong;-44.4
0;2220.0;EWlf;bin+01+1;prolong;-117.0
0;2225.0;EWlf;bin+01+2;prolong;-167.0
0;2230.0;EWlf;bin+01+3;pass;-217.0
0;2244.0;NSst;bin+01+0;pass;-59.3
0;2258.0;EWst;bin+01+0;pass;212.6
0;2272.0;NSlf;bin+01+0;prolong;-18.4
0;2277.0;NSlf;bin+01+1;pass;-74.0
0;2291.0;EWlf;bin+01+0;pass;-72.0
0;2305.0;NSst;bin+00+0;prolong;-43.0
0;2310.0;NSst;bin+00+1;pass;-112.9
0;2324.0;EWst;bin+01+0;prolong;120.4
0;2329.0;EWst;bin+01+1;prolong;-72.1
0;2334.0;EWst;bin+01+2;pass;-123.2
0;2348.0;NSlf;bin+01+0;pass;17.0
0;2362.0;EWlf;bin+01+0;prolong;-54.0
0;2367.0;EWlf;bin+01+1;prolong;-91.0
0;2372.0;EWlf;bin+01+2;pass;-131.0
0;2386.0;NSst;bin+01+0;prolong;173.6
0;2391.0;NSst;bin+01+1;pass;-27.0
0;2405.0;EWst;bin+01+0;pass;20.1
0;2419.0;NSlf;bin+01+0;pass;-29.3
0;2433.0;EWlf;bin+01+0;prolong;-65.0
0;2438.0;EWlf;bin+01+1;pass;-114.0
0;2452.0;NSst;bin+00+0;pass;90.9
0;2466.0;EWst;bin+01+0;pass;77.4
0;2480.0;NSlf;bin+01+0;prolong;44.7
0;2485.0;NSlf;bin+01+1;pass;-70.0
0;2499.0;EWlf;bin+01+0;pass;14.0
0;2513.0;NSst;bin+01+0;prolong;27.6
0;2518.0;NSst;bin+01+1;prolong;-67.1
0;2523.0;NSst;bin+01+2;pass;-92.0
0;2537.0;EWst;bin+01+0;pass;125.3
0;2551.0;NSlf;bin+01+0;prolong;-1.5
0;2556.0;NSlf;bin+01+1;pass;-62.0
0;2570.0;EWlf;bin+01+0;pass;-42.4
0;2584.0;NSst;bin+01+0;pass;29.9
0;2598.0;EWst;bin+01+0;prolong;62.1
0;2603.0;EWst;bin+01+1;pass;-43.2
0;2617.0;NSlf;bin+01+0;pass;12.3
0;2631.0;EWlf;bin+01+0;prolong;-48.0
0;2636.0;EWlf;bin+01+1;pass;-90.0
0;2650.0;NSst;bin+01+0;pass;106.5
0;2664.0;EWst;bin+01+0;pass;91.3
0;2678.0;NSlf;bin+01+0;prolong;-26.0
0;2683.0;NSlf;bin+01+1;prolong;-46.4
0;2688.0;NSlf;bin+01+2;pass;-63.9
0;2702.0;EWlf;bin+01+0;pass;-63.2
0;2716.0;NSst;bin+01+0;prolong;-2.2
0;2721.0;NSst;bin+00+1;pass;-123.9
0;2735.0;EWst;bin+01+0;prolong;202.0
0;2740.0;EWst;bin+01+1;pass;-55.2
0;2754.0;NSlf;bin+01+0;prolong;-0.8
0;2759.0;NSlf;bin+01+1;pass;-94.5
0;2773.0;EWlf;bin+01+0;pass;26.1
0;2787.0;NSst;bin+01+0;pass;47.4
0;2801.0;EWst;bin+01+0;pass;53.1
0;2815.0;NSlf;bin+01+0;prolong;9.2
0;2820.0;NSlf;bin+01+1;pass;-95.7
0;2834.0;EWlf;bin+01+0;prolong;-20.6
0;2839.0;EWlf;bin+01+1;pass;-149.0
0;2853.0;NSst;bin+01+0;pass;120.6
0;2867.0;EWst;bin+01+0;prolong;175.2
0;2872.0;EWst;bin+01+1;prolong;-15.1
0;2877.0;EWst;bin+01+2;pass;-45.8
0;2891.0;NSlf;bin+01+0;pass;-40.0
0;2905.0;EWlf;bin+01+0;pass;-54.0
