epi;step;s;o;a;r
0;972.0;NSst;bin+11+0;pass;195.4
0;986.0;EWst;bin+01+0;pass;35.8
0;1000.0;NSlf;bin+01+0;pass;-33.0
0;1014.0;EWlf;bin+01+0;prolong;-34.0
0;1019.0;EWlf;bin+01+1;pass;-59.0
0;1033.0;NSst;bin+01+0;pass;77.4
0;1047.0;EWst;bin+01+0;pass;-9.0
0;1061.0;NSlf;bin+01+0;prolong;-13.0
0;1066.0;NSlf;bin+01+1;pass;-28.0
0;1080.0;EWlf;bin+01+0;pass;-34.4
0;1094.0;NSst;bin+01+0;prolong;-18.4
0;1099.0;NSst;bin+01+1;prolong;-76.0
0;1104.0;NSst;bin+01+2;pass;-123.4
0;1118.0;EWst;bin+11+0;pass;225.5
0;1132.0;NSlf;bin+11+0;pass;-35.3
0;1146.0;EWlf;bin+01+0;prolong;-55.6
0;1151.0;EWlf;bin+01+1;prolong;-96.0
0;1156.0;EWlf;bin+01+2;pass;-136.0
0;1170.0;NSst;bin+01+0;prolong;-4.7
0;1175.0;NSst;bin+01+1;pass;-79.6
0;1189.0;EWst;bin+01+0;pass;25.3
0;1203.0;NSlf;bin+01+0;prolong;17.7
0;1208.0;NSlf;bin+01+1;pass;-16.0
0;1222.0;EWlf;bin+01+0;pass;-14.8
0;1236.0;NSst;bin+01+0;prolong;-48.0
0;1241.0;NSst;bin+01+1;pass;-83.0
0;1255.0;EWst;bin+11+0;prolong;107.1
0;1260.0;EWst;bin+11+1;prolong;-57.9
0;1265.0;EWst;bin+00+2;prolong;-114.8
0;1270.0;EWst;bin+11+3;pass;-156.0
0;1284.0;NSlf;bin+01+0;pass;-47.3
0;1298.0;EWlf;bin+01+0;prolong;27.8
0;1303.0;EWlf;bin+01+1;pass;-86.0
0;1317.0;NSst;bin+01+0;prolong;18.4
0;1322.0;NSst;bin+01+1;pass;-113.0
0;1336.0;EWst;bin+11+0;pass;140.9
0;1350.0;NSlf;bin+01+0;pass;-23.0
0;1364.0;EWlf;bin+01+0;pass;51.2
0;1378.0;NSst;bin+01+0;prolong;88.8
0;1383.0;NSst;bin+01+1;pass;-48.0
0;1397.0;EWst;bin+01+0;pass;31.4
0;1411.0;NSlf;bin+01+0;pass;-13.0
0;1425.0;EWlf;bin+01+0;prolong;-45.0
0;1430.0;EWlf;bin+01+1;pass;-70.0
0;1444.0;NSst;bin+01+0;pass;9.4
0;1458.0;EWst;bin+01+0;pass;56.3
0;1472.0;NSlf;bin+01+0;prolong;11.9
0;1477.0;NSlf;bin+01+1;pass;-25.0
0;1491.0;EWlf;bin+01+0;pass;-48.0
0;1505.0;NSst;bin+01+0;pass;-10.1
0;1519.0;EWst;bin+11+0;prolong;89.7
0;1524.0;EWst;bin+01+1;pass;-46.1
0;1538.0;NSlf;bin+01+0;prolong;-8.4
0;1543.0;NSlf;bin+01+1;prolong;-54.0
0;1548.0;NSlf;bin+11+2;pass;-94.6
0;1562.0;EWlf;bin+01+0;pass;21.3
0;1576.0;NSst;bin+11+0;pass;18.5
0;1590.0;EWst;bin+01+0;prolong;4.6
0;1595.0;EWst;bin+01+1;pass;-33.0
0;1609.0;NSlf;bin+01+0;pass;47.4
0;1623.0;EWlf;bin+01+0;prolong;-12.0
0;1628.0;EWlf;bin+01+1;prolong;-22.0
0;1633.0;EWlf;bin+01+2;prolong;-33.0
0;1638.0;EWlf;bin+01+3;prolong;-61.3
0;1643.0;EWlf;bin+11+4;prolong;-70.3
0;1648.0;EWlf;bin+01+5;prolong;-100.0
0;1653.0;EWlf;bin+01+6;pass;-139.0
0;1667.0;NSst;bin+11+0;prolong;72.1
0;1672.0;NSst;bin+01+1;pass;-60.1
0;1686.0;EWst;bin+01+0;pass;53.5
0;1700.0;NSlf;bin+01+0;prolong;-31.0
0;1705.0;NSlf;bin+01+1;pass;-56.0
0;1719.0;EWlf;bin+01+0;pass;-10.4
0;1733.0;NSst;bin+01+0;pass;14.9
0;1747.0;EWst;bin+01+0;pass;29.8
0;1761.0;NSlf;bin+01+0;pass;-32.0
0;1775.0;EWlf;bin+01+0;prolong;-42.0
0;1780.0;EWlf;bin+01+1;pass;-95.0
0;1794.0;NSst;bin+11+0;pass;141.2
0;1808.0;EWst;bin+01+0;prolong;6.7
0;1813.0;EWst;bin+01+1;prolong;-90.0
0;1818.0;EWst;bin+01+2;pass;-156.3
0;1832.0;NSlf;bin+01+0;pass;-78.0
0;1846.0;EWlf;bin+01+0;prolong;-37.6
0;1851.0;EWlf;bin+01+1;prolong;-112.4
0;1856.0;EWlf;bin+01+2;prolong;-144.4
0;1861.0;EWlf;bin+01+3;pass;-199.0
0;1875.0;NSst;bin+01+0;pass;46.4
0;1889.0;EWst;bin+01+0;prolong;135.8
0;1894.0;EWst;bin+01+1;prolong;-26.0
0;1899.0;EWst;bin+11+2;prolong;-43.0
0;1904.0;EWst;bin+00+3;prolong;-66.0
0;1909.0;EWst;bin+11+4;prolong;-91.6
0;1914.0;EWst;bin+01+5;pass;-116.0
0;1928.0;NSlf;bin+01+0;prolong;-16.3
0;1933.0;NSlf;bin+01+1;pass;-64.0
0;1947.0;EWlf;bin+01+0;pass;-51.0
0;1961.0;NSst;bin+11+0;prolong;58.0
0;1966.0;NSst;bin+01+1;prolong;-42.0
0;1971.0;NSst;bin+01+2;pass;-57.0
0;1985.0;EWst;bin+10+0;prolong;-19.1
0;1990.0;EWst;bin+11+1;pass;-34.4
0;2004.0;NSlf;bin+01+0;pass;59.1
0;2018.0;EWlf;bin+01+0;pass;-61.5
0;2032.0;NSst;bin+01+0;pass;31.0
0;2046.0;EWst;bin+11+0;prolong;105.6
0;2051.0;EWst;bin+01+1;pass;-34.0
0;2065.0;NSlf;bin+01+0;prolong;-37.0
0;2070.0;NSlf;bin+00+1;prolong;-77.9
0;2075.0;NSlf;bin+11+2;pass;-104.1
0;2089.0;EWlf;bin+01+0;pass;-58.4
0;2103.0;NSst;bin+11+0;prolong;83.0
0;2108.0;NSst;bin+01+1;pass;-89.7
0;2122.0;EWst;bin+01+0;prolong;73.7
0;2127.0;EWst;bin+01+1;prolong;-64.0
0;2132.0;EWst;bin+01+2;pass;-94.0
0;2146.0;NSlf;bin+01+0;prolong;-69.0
0;2151.0;NSlf;bin+01+1;pass;-128.6
0;2165.0;EWlf;bin+01+0;pass;1.6
0;2179.0;NSst;bin+01+0;pass;93.8
0;2193.0;EWst;bin+01+0;prolong;-0.6
0;2198.0;EWst;bin+11+1;pass;-33.2
0;2212.0;NSlf;bin+01+0;pass;-38.0
0;2226.0;EWlf;bin+01+0;prolong;-26.8
0;2231.0;EWlf;bin+01+1;pass;-81.6
0;2245.0;NSst;bin+01+0;prolong;10.7
0;2250.0;NSst;bin+01+1;prolong;-53.0
0;2255.0;NSst;bin+01+2;pass;-84.0
0;2269.0;EWst;bin+01+0;pass;55.9
0;2283.0;NSlf;bin+01+0;pass;-34.3
0;2297.0;EWlf;bin+01+0;pass;-16.0
0;2311.0;NSst;bin+11+0;prolong;133.8
0;2316.0;NSst;bin+01+1;pass;-65.0
0;2330.0;EWst;bin+01+0;pass;149.0
0;2344.0;NSlf;bin+01+0;prolong;-10.0
0;2349.0;NSlf;bin+01+1;prolong;-20.0
0;2354.0;NSlf;bin+01+2;prolong;-30.0
0;2359.0;NSlf;bin+01+3;pass;-40.0
0;2373.0;EWlf;bin+01+0;pass;-36.0
0;2387.0;NSst;bin+11+0;prolong;37.1
0;2392.0;NSst;bin+01+1;pass;-35.0
0;2406.0;EWst;bin+01+0;prolong;53.3
0;2411.0;EWst;bin+01+1;pass;-14.0
0;2425.0;NSlf;bin+01+0;prolong;-23.0
0;2430.0;NSlf;bin+01+1;pass;-48.0
0;2444.0;EWlf;bin+01+0;prolong;-41.4
0;2449.0;EWlf;bin+11+1;prolong;-49.6
0;2454.0;EWlf;bin+01+2;pass;-73.0
0;2468.0;NSst;bin+11+0;prolong;65.2
0;2473.0;NSst;bin+01+1;pass;-45.8
0;2487.0;EWst;bin+01+0;pass;46.8
0;2501.0;NSlf;bin+01+0;pass;-46.0
0;2515.0;EWlf;bin+01+0;pass;13.5
0;2529.0;NSst;bin+01+0;prolong;-4.4
0;2534.0;NSst;bin+01+1;pass;-51.0
0;2548.0;EWst;bin+11+0;prolong;76.1
0;2553.0;EWst;bin+01+1;pass;-23.0
0;2567.0;NSlf;bin+01+0;pass;-27.0
0;2581.0;EWlf;bin+01+0;pass;7.8
0;2595.0;NSst;bin+01+0;pass;3.5
0;2609.0;EWst;bin+01+0;prolong;-4.3
0;2614.0;EWst;bin+01+1;pass;-42.0
0;2628.0;NSlf;bin+01+0;pass;-36.0
0;2642.0;EWlf;bin+01+0;prolong;42.2
0;2647.0;EWlf;bin+01+1;prolong;-8.0
0;2652.0;EWlf;bin+01+2;prolong;-13.0
0;2657.0;EWlf;bin+01+3;prolong;-23.0
0;2662.0;EWlf;bin+01+4;pass;-41.0
0;2676.0;NSst;bin+01+0;prolong;20.3
0;2681.0;NSst;bin+01+1;prolong;-53.0
0;2686.0;NSst;bin+01+2;pass;-79.0
0;2700.0;EWst;bin+01+0;pass;71.8
0;2714.0;NSlf;bin+01+0;pass;-30.3
0;2728.0;EWlf;bin+01+0;prolong;5.6
0;2733.0;EWlf;bin+01+1;pass;-37.0
0;2747.0;NSst;bin+01+0;prolong;30.1
0;2752.0;NSst;bin+00+1;prolong;-42.0
0;2757.0;NSst;bin+11+2;pass;-65.7
0;2771.0;EWst;bin+01+0;pass;-28.5
0;2785.0;NSlf;bin+11+0;pass;18.6
0;2799.0;EWlf;bin+01+0;prolong;-66.0
0;2804.0;EWlf;bin+01+1;pass;-106.0
0;2818.0;NSst;bin+11+0;pass;59.8
0;2832.0;EWst;bin+01+0;prolong;15.5
