;NSst:G;NSlf:G;EWst:G;EWlf:G
0;2.6419999999999977;-0.8840000000000001;0.038;-0.9660000000000002
1;-0.036;-0.9039999999999999;2.309000000000002;-1.0660000000000003
0;-0.576;-1.4780000000000002;-1.7070000000000003;-1.9000000000000001
1;-0.5640000000000001;-1.5419999999999998;-1.5370000000000004;-1.772
0;-0.4;-0.8260000000000001;-0.23199999999999998;-0.519
1;-0.208;-0.9700000000000001;-0.21000000000000002;-0.616
0;-0.077;-0.681;-0.209;-0.221
1;0.0;-1.006;-0.167;-0.294
0;0.0;-0.297;-0.124;-0.835
1;-0.17;-0.349;-0.43;-0.513
0;0.0;-0.263;-0.142;0.0
1;0.0;-0.403;0.0;0.0
0;0.0;-0.483;0.0;0.0
1;0.0;-0.207;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;19.35000000000004;-21.353000000000137;31.262999999999938;-27.639000000000088
1;1.0050000000000001;-21.440000000000047;2.3349999999999995;-28.268000000000033
0;-2.9610000000000003;-39.869000000000035;-2.459;-50.63
1;-2.88;-40.022999999999996;-2.4900000000000007;-48.458999999999975
0;-2.8370000000000006;-36.070000000000014;-2.4810000000000003;-38.146000000000015
1;-2.6279999999999997;-34.138999999999974;-2.3909999999999987;-38.599000000000004
0;-1.264;-27.799999999999997;-2.369;-29.800999999999995
1;-1.6009999999999998;-23.917999999999996;-2.471;-30.389000000000014
0;-1.3159999999999998;-16.592999999999996;-1.4240000000000002;-17.517000000000003
1;-1.357;-18.733999999999998;-1.3789999999999998;-20.079000000000004
0;-0.452;-12.910000000000002;-1.2449999999999999;-12.148
1;-0.445;-9.661000000000001;-1.3039999999999998;-19.024999999999995
0;-0.372;-4.853;-0.358;-6.843000000000002
1;-0.326;-4.730999999999999;-0.662;-8.889999999999999
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;8.176999999999996;0.0;11.884000000000002;-0.301
1;0.14800000000000002;0.0;0.128;-0.34400000000000003
0;-0.052;0.0;-0.318;-0.30500000000000005
1;0.0;0.0;-0.35000000000000003;-0.234
0;0.0;0.0;-0.163;-0.089
1;0.0;0.0;-0.141;-0.232
0;0.0;0.0;-0.064;-0.1
1;0.0;0.0;-0.069;0.0
0;-0.107;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;-0.272;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;65.77000000000002;-4.681999999999998;80.09000000000016;-7.785999999999993
1;4.702999999999999;-4.619999999999996;4.993;-7.868000000000001
0;-1.9210000000000003;-5.793999999999999;-3.2430000000000003;-9.349000000000002
1;-2.0749999999999997;-6.178999999999998;-3.2980000000000005;-9.223
0;-0.878;-5.0760000000000005;-2.3400000000000003;-5.805000000000001
1;-0.873;-4.715;-2.3780000000000006;-5.831000000000001
0;-0.58;-2.143;-0.6809999999999998;-4.257000000000001
1;-0.716;-2.243;-0.837;-3.856
0;0.0;-1.4549999999999998;-0.229;-1.876
1;-0.288;-1.888;-0.20800000000000002;-1.8949999999999998
0;-0.25;-0.326;-0.098;-0.356
1;0.0;-0.905;-0.119;-1.545
0;-0.255;-0.42500000000000004;-0.694;-1.216
1;-0.235;-0.652;-0.31;-1.4580000000000002
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
